S.no,Question,Answer
,,"No, the CSC Shubhlabh Plan does not offer any liquidity during the first five years. You cannot withdraw or surrender your investment"
1,Can I withdraw money from the CSC Shubhlabh Plan within the first five years?,completely or partially during this period.
2,What is the IndiaFirst CSC Shubhlabh Plan?,It is a low premium insurance CSC Shubhlabh Plan that helps you build savings while providing life cover.
3,How does this CSC Shubhlabh Plan help with saving for the future ?,It helps you build a corpus through regular interest additions and ensures you are protected against life's unexpected turns.
4,What is the minimum floor rate guaranteed by the CSC Shubhlabh Plan?,The CSC Shubhlabh Plan guarantees a minimum floor rate of 1.0% per annum on the account value during the CSC Shubhlabh Plan term.
5,What modes of premium payment are available in CSC Shubhlabh Plan?,"You can pay your premium monthly, half-yearly, or yearly."
6,How long do I need to pay premiums for this CSC Shubhlabh Plan?,You can choose to pay premiums for either 10 or 15 years.
7,What happens if the life assured passes away during the CSC Shubhlabh Plan term?,A lump sum death benefit is paid to the nominee.
8,Can I enroll in this CSC Shubhlabh Plan easily?,"Yes, you can enjoy hassle-free enrollment by providing your name and Aadhar number."
9,Does the CSC Shubhlabh Plan provide any protection for my family?,"Yes, the CSC Shubhlabh Plan provides a lump sum death benefit to the nominee in case of the life assured's untimely demise."
10,Is there flexibility in premium payments in CSC Shubhlabh Plan?,"Yes, you can choose to pay premiums as per your convenience during the year."
11,Why should I save for the future in CSC Shubhlabh Plan?,Saving helps you achieve your financial goals and provides a cushion against emergencies.
12,What are the benefits of saving systematically in CSC Shubhlabh Plan?,It helps in building a corpus systematically and ensures consistent growth over time.
13,What is the purpose of the IndiaFirst CSC Shubhlabh Plan?,To help you build savings conveniently while providing life cover and ensuring financial security for your family.
14,Is this CSC Shubhlabh Plan suitable for someone looking for long-term savings?,"Yes, it is ideal for long-term savings with the flexibility to pay premiums for 10 or 15 years."
15,Can I change my premium payment mode later in CSC Shubhlabh Plan?,"The CSC Shubhlabh Plan generally allows flexibility, but you should check specific terms and conditions for changes."
16,How is the account value of the CSC Shubhlabh Plan managed?,The account value grows through guaranteed interest additions during the CSC Shubhlabh Plan term.
17,What is a corpus in the context of this CSC Shubhlabh Plan?,A corpus refers to the total savings accumulated in your account over time.
18,Is there any life cover provided in this CSC Shubhlabh Plan?,"Yes, the CSC Shubhlabh Plan includes a life cover that pays out a death benefit in case of the life assured's demise."
19,How can I secure my family’s future with this CSC Shubhlabh Plan?,"By building savings and ensuring a death benefit payout, you secure your family's financial future."
20,What documents do I need to enroll in this CSC Shubhlabh Plan?,You need to provide your name and Aadhar number for enrollment.
,,"On maturity, you receive a lump sum amount that is the higher of the total premiums paid (including top-ups and less any partial"
21,What do you receive at the end of the CSC Shubhlabh Plan term?,"withdrawals) compounded at 1% per annum, or the accumulated account value."
,,"The maturity amount is calculated as the higher of the total premiums paid (including top-ups) compounded at 1% per annum, or the"
22,How is the maturity amount calculated in CSC Shubhlabh Plan?,accumulated account value.
23,How will the maturity amount be paid in CSC Shubhlabh Plan?,The maturity amount will be paid through a bank account using NEFT or RTGS.
,,"If the life assured dies while the CSC Shubhlabh Plan is active with life cover, a lump sum amount is paid to the nominee, appointee, or legal"
,,"heir. This amount is the higher of the sum assured, 105% of total premiums paid (including top-ups), total premiums paid compounded at"
24,What happens if the life assured dies while theCSC Shubhlabh Plan is in force with life cover?,"1% per annum, or the account value."
,,"If the life assured dies while the CSC Shubhlabh Plan is in paid-up status, a lump sum amount equal to the higher of the paid-up sum"
25,What happens if the life assured dies while the CSC Shubhlabh Plan is in paid-up status?,"assured or the accumulated account value is paid to the nominee, appointee, or legal heir."
26,What is the Premium Allocation Charge in the first year in CSC Shubhlabh Plan?,The Premium Allocation Charge in the first year is 20% of the annualized premium.
27,Is there a Premium Allocation Charge for Top-Up premiums in CSC Shubhlabh Plan?,"No, there is no allocation charge on Top-Up premiums."
28,What is the Fund Management Charge under the CSC Shubhlabh Plan?,The Fund Management Charge is not applicable.
29,What is the Mortality Charge under the CSC Shubhlabh Plan?,"The Mortality Charge is expressed in rupees per 1000 sum at risk, and it is guaranteed throughout the term."
30,Is there a Discontinuance Charge?,"No, there is no Discontinuance Charge."
31,Who bears the service tax under the CSC Shubhlabh Plan?,The service tax will be borne by the policyholder.
,,"Yes, you can cancel your CSC Shubhlabh Plan during the free look period, which is within the first 15 days from receiving your CSC"
32,Can you cancel your CSC Shubhlabh Plan during the free look period?,Shubhlabh Plan details.
33,What refund do you get if you cancel yourCSC Shubhlabh Planduring the free look period?,"You will receive a refund of the premium paid minus pro-rata mortality charge, medical fees (if any), and any stamp duty paid."
,What is the death benefit if the life assured commits suicide within 12 months from the CSC Shubhlabh Plan,
34,commencement?,"The death benefit payable will be limited to 80% of the total premiums paid, including any top-up premiums paid."
,,"If the life assured commits suicide within one year of reinstatement, the higher of 80% of total premiums paid or the account value will be"
35,What happens if the life assured commits suicide within one year of reinstatement?,paid.
,,"Section 41 prohibits offering or accepting rebates of commission or premium, except as allowed by the insurer’s published prospectuses or"
36,"What does Section 41 of the Insurance Act, 1938 prohibit?",tables.
,,Section 45 allows a policy to be called into question within three years from the policy issuance on grounds of fraud or misstatement. After
37,What are the consequences of making false or incorrect submissions according to Section 45?,"three years, the policy cannot be called into question except for fraud."
38,What is the shareholding pattern of IndiaFirst Life Insurance as of the latest update?,"The shareholding pattern is Bank of Baroda – 65%, Union Bank of India – 9%, and Carmel Point Investments India Private Limited – 26%."
,,"Exclusions include suicide, war, terrorism, criminal activity, poison, service in armed forces, participation in dangerous activities, and"
39,What exclusions apply to Accidental Death Benefit?,nuclear contamination.
,,,"Exclusions include suicide, war, criminal activity, alcohol or drug abuse, poison, service in armed forces, dangerous activities, and nuclear"
40,What exclusions apply to Total and Permanent Disability benefits?,,contamination.
,,,"Exclusions include pre-existing diseases, intentional self-inflicted injuries, substance abuse, war, criminal activity, dangerous activities, and"
41,What is the exclusion for Critical Illness benefits?,,nuclear contamination.
42,What is the definition of Pre-Existing Disease under the policy?,,A Pre-Existing Disease is any condition diagnosed or treated by a physician within 48 months before the policy’s effective date.
43,What happens if the insured person participates in a professional sport?,,Participation in professional sports is excluded from coverage under the CSC Shubhlabh Plan.
44,Is coverage provided for congenital anomalies?,,"External congenital anomalies are not covered, but other congenital anomalies are covered."
45,"What does Section 39 of the Insurance Act, 1938 pertain to?",,Section 39 pertains to the nomination process for insurance policies.
46,"What does Section 38 of the Insurance Act, 1938 cover?",,Section 38 covers the assignment of insurance policies.
47,What is the penalty for violating the Prohibition of Rebate provisions under Section 41?,,The penalty for violating the Prohibition of Rebate provisions can extend up to ten lakh rupees.
48,What actions can be taken if a life insurance policy is called into question on grounds of fraud?,,The insurer must communicate the grounds and materials for the decision to the insured or their representatives.
49,How long is a life insurance policy valid before it can no longer be questioned for fraud?,,A life insurance policy cannot be questioned on grounds of fraud after three years from its issuance or relevant date.
50,What happens if a policyholder commits suicide while sane or insane?,,"The death benefit will be limited to 80% of the total premiums paid or the surrender value, whichever is higher."
51,What is the procedure if the policyholder is found to have submitted false information?,,"The insurer can repudiate the policy if false information is discovered within three years, with premiums refunded if not fraudulent."
52,What types of activities are excluded from coverage due to their hazardous nature?,,"Hazardous activities include racing, rock climbing, deep-sea diving, skydiving, and parachuting."
,What is the minimum guaranteed additional interest on the account value if the CSC Shubhlabh Plan is,,
53,discontinued?,,The minimum guaranteed additional interest will be credited on the account balance if the CSC Shubhlabh Plan is discontinued.
,,,"Yes, if the life assured dies during the discontinuance period, the account value will be paid to the nominee, and the CSC Shubhlabh Plan"
54,Can the CSC Shubhlabh Plan be terminated if the life assured dies during the discontinuance period?,,will be terminated.
55,What happens to the premiums paid if the CSC Shubhlabh Plan is discontinued and not revived?,,The premiums collected till the date of repudiation will be refunded if the policy is discontinued and not revived.
56,What is the maximum penalty for accepting or offering rebates in insurance policies in CSC Shubhlabh Plan?,,The maximum penalty for accepting or offering rebates in insurance policies can extend to ten lakh rupees.
,What is the procedure if the insurer decides to repudiate the policy on grounds of misstatement in CSC Shubhlabh,,
57,Plan?,,The insurer must communicate the grounds for the decision and refund the premiums collected if the repudiation is not due to fraud.
,,,"Exclusions include death due to suicide, war, terrorism, military service, criminal activity, poisoning, service in armed forces, professional"
58,What are the exclusions for Accidental Death Benefit in CSC Shubhlabh Plan?,,"sports, adventurous pursuits, and nuclear contamination."
,,,"Exclusions include suicide, war, military service, criminal activity, alcohol or drug abuse, poisoning, flying activities, professional sports,"
59,What are the exclusions for Accidental Total Permanent Disability in CSC Shubhlabh Plan?,,"congenital anomalies, and nuclear contamination."
,,,"Exclusions include pre-existing diseases, intentional self-inflicted injury, alcohol or drug abuse, war, criminal acts, professional sports,"
60,What are the exclusions for Critical Illness/Degenerative Diseases in CSC Shubhlabh Plan?,,"congenital anomalies, and nuclear contamination."
61,What does the term “External Congenital Anomaly” refer to ?,,"External Congenital Anomaly refers to a visible and accessible condition present since birth that is abnormal in form, structure, or position."
,,,The Premium Allocation Charge is deducted from the annual premium during the first year of the policy as a percentage. It is 20% for the
62,How is the Premium Allocation Charge applied?,,first year and nil for subsequent years.
63,How long do I have to revive the CSC Shubhlabh Plan if I choose to?,,You have a revival period of two years to revive the CSC Shubhlabh Plan by paying all due premiums.
,,,"Yes, if you do not make the premium payments and do not notify us before the end of the revival period, the CSC Shubhlabh Plan will"
64,Can I convert my CSC Shubhlabh Plan to a Paid-Up CSC Shubhlabh Plan if I miss premium payments after 5 years?,,automatically convert to a Paid-Up CSC Shubhlabh Plan.
,What happens if I fail to make premium payments after 5 years and do not choose an option,in CSC Shubhlabh,"If you fail to make premium payments and do not choose an option before the end of the revival period, the CSC Shubhlabh Plan will"
65,Plan?,,automatically convert to a Paid-Up CSC Shubhlabh Plan.
66,What is the role of the nominee in the event of the life assured's death during the CSC Shubhlabh Plan period?,,"The nominee will receive the account value or death benefit as specified in the policy, depending on the circumstances of the death."
67,What happens if I do not notify the insurer within the revival period,in CSC Shubhlabh Plan?,"If you do not notify the insurer within the revival period, the policy will automatically convert to a Paid-Up CSC Shubhlabh Plan."
,,,"If you do not pay the premium by the due date, you will get a 30-day grace period to make the payment. After this period, the life cover will"
,,,"cease, but the CSC Shubhlabh Plan will continue with the guaranteed interest rate and minimum guaranteed additional interest until the"
68,What happens if I don’t pay the premium within the first 5 CSC Shubhlabh Plan years?,,end of the lock-in period or the revival period.
,,,You can either revive the CSC Shubhlabh Plan within two years by paying all due premiums or complete withdrawal from the CSC Shubhlabh
69,What are the options available if I do not pay the premium within the first 5 CSC Shubhlabh Plan years?,,Plan without any life cover.
,,,"If you revive the CSC Shubhlabh Plan within the revival period by paying all due premiums, the life cover will be restored, and no additional"
70,What happens if I revive the CSC Shubhlabh Plan within the revival period?,,interest or fees will be charged.
,,,"If you do not revive the CSC Shubhlabh Plan during the revival period, it will be treated as a complete withdrawal without any life cover,"
71,What happens if I do not revive the CSC Shubhlabh Plan during the revival period?,,and the account value will be payable at the end of the lock-in period.
,,,"If the CSC Shubhlabh Plan is not revived within 5 years, the Minimum Floor Rate and Additional Interest Rate will be credited to the account"
